Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,islem,nblettres,puorth,puphon,nbsyll,cgramortho
abreuvera,abR9v°Ra,abreuver,VER,1.13,0.11,0,9,0,0,4,VER
abreuveraient,abR9v°RE,abreuver,VER,1.13,0,0,13,0,0,4,VER
abreuvez,abR9ve,abreuver,VER,1.13,0.03,0,8,0,6,3,VER
abreuvons,abR9v§,abreuver,VER,1.13,0.01,0,9,0,0,3,VER
abreuvé,abR9ve,abreuver,VER,1.13,0.04,0,7,7,6,3,"VER,ADJ"
abreuvée,abR9ve,abreuver,VER,1.13,0.1,0,8,0,6,3,VER
abreuvés,abR9ve,abreuver,VER,1.13,0.04,0,8,0,6,3,"VER,ADJ"
abricotez,abRikote,abricoter,VER,0.01,0.01,0,9,0,0,4,VER
abrita,abRita,abriter,VER,7.92,0.02,0,6,0,0,3,VER
abritai,abRitE,abriter,VER,7.92,0,0,7,0,0,3,VER
abritaient,abRitE,abriter,VER,7.92,0.14,0,10,0,0,3,VER
abritais,abRitE,abriter,VER,7.92,0.01,0,8,0,0,3,VER
abritait,abRitE,abriter,VER,7.92,0.23,0,8,0,0,3,VER
abritant,abRit@,abriter,VER,7.92,0.25,0,8,6,6,3,"ADJ,VER"
abrite,abRit,abriter,VER,7.92,2.09,0,6,0,0,2,VER
abritent,abRit,abriter,VER,7.92,0.33,0,8,0,0,2,VER
abriter,abRite,abriter,VER,7.92,2.37,1,7,6,6,3,VER
abritera,abRit°Ra,abriter,VER,7.92,0.1,0,8,0,0,4,VER
abriterait,abRit°RE,abriter,VER,7.92,0.04,0,10,0,0,4,VER
abriterons,abRit°R§,abriter,VER,7.92,0.03,0,10,0,0,4,VER
abriteront,abRit°R§,abriter,VER,7.92,0.01,0,10,0,0,4,VER
abrites,abRit,abriter,VER,7.92,0.14,0,7,0,0,2,VER
abritez,abRite,abriter,VER,7.92,1.08,0,7,0,6,3,VER
abritiez,abRitje,abriter,VER,7.92,0.01,0,8,0,0,3,VER
abritions,abRitj§,abriter,VER,7.92,0.01,0,9,0,0,3,VER
abritons,abRit§,abriter,VER,7.92,0.4,0,8,0,0,3,VER
abritâmes,abRitam,abriter,VER,7.92,0.01,0,9,0,0,3,VER
abritèrent,abRitER,abriter,VER,7.92,0,0,10,0,0,3,VER
abrité,abRite,abriter,VER,7.92,0.35,0,6,6,6,3,"VER,ADJ"
abritée,abRite,abriter,VER,7.92,0.04,0,7,0,6,3,"VER,ADJ"
abritées,abRite,abriter,VER,7.92,0.24,0,8,0,6,3,VER
abrités,abRite,abriter,VER,7.92,0.02,0,7,0,6,3,"VER,ADJ"
abrogent,abROZ,abroger,VER,0.71,0.23,0,8,0,0,2,VER
abroger,abRoZe,abroger,VER,0.71,0.09,1,7,6,5,3,VER
abrogé,abRoZe,abroger,VER,0.71,0.11,0,6,6,5,3,"VER,ADJ"
abrogée,abRoZe,abroger,VER,0.71,0.28,0,7,0,5,3,VER
abrogées,abRoZe,abroger,VER,0.71,0,0,8,0,5,3,VER
abrogés,abRoZe,abroger,VER,0.71,0.01,0,7,0,5,3,VER
abruti,abRyti,abrutir,VER,2.56,1.75,0,6,6,6,3,"ADJ,NOM,VER"
abrutie,abRyti,abrutir,VER,2.56,0.06,0,7,0,6,3,"ADJ,NOM,VER"
abruties,abRyti,abrutir,VER,2.56,0.02,0,8,0,6,3,"ADJ,NOM,VER"
abrutir,abRytiR,abrutir,VER,2.56,0.11,1,7,7,7,3,VER
abrutira,abRytiRa,abrutir,VER,2.56,0,0,8,0,0,4,VER
abrutis,abRyti,abrutir,VER,2.56,0.13,0,7,0,6,3,"ADJ,NOM,VER"
abrutissaient,abRytisE,abrutir,VER,2.56,0,0,13,0,0,4,VER
abrutissais,abRytisE,abrutir,VER,2.56,0,0,11,0,0,4,VER
abrutissait,abRytisE,abrutir,VER,2.56,0.14,0,11,0,0,4,VER
abrutissant,abRytis@,abrutir,VER,2.56,0,0,11,9,8,4,"VER,ADJ"
abrutissent,abRytis,abrutir,VER,2.56,0.16,0,11,0,0,3,VER
abrutissions,abRytisj§,abrutir,VER,2.56,0,0,12,0,0,4,VER
abrutit,abRyti,abrutir,VER,2.56,0.19,0,7,0,6,3,VER
abrège,abREZ,abréger,VER,4.21,1.25,0,6,0,0,2,VER
abrègent,abREZ,abréger,VER,4.21,0.22,0,8,0,0,2,VER
abrégea,abReZa,abréger,VER,4.21,0.02,0,7,0,0,3,VER
abrégeai,abReZE,abréger,VER,4.21,0,0,8,0,0,3,VER
abrégeaient,abReZE,abréger,VER,4.21,0,0,11,0,0,3,VER
abrégeait,abReZE,abréger,VER,4.21,0,0,9,0,0,3,VER
abrégeant,abReZ@,abréger,VER,4.21,0,0,9,0,0,3,VER
abrégeons,abReZ§,abréger,VER,4.21,0.12,0,9,0,0,3,VER
abréger,abReZe,abréger,VER,4.21,1.61,1,7,6,5,3,VER
abrégera,abReZ°Ra,abréger,VER,4.21,0.01,0,8,0,0,4,VER
abrégerai,abReZ°RE,abréger,VER,4.21,0.01,0,9,0,0,4,VER
abrégerait,abReZ°RE,abréger,VER,4.21,0,0,10,0,0,4,VER
abrégez,abReZe,abréger,VER,4.21,0.73,0,7,0,5,3,VER
abrégeât,abReZa,abréger,VER,4.21,0,0,8,0,0,3,VER
abrégé,abReZe,abréger,VER,4.21,0.19,0,6,6,5,3,"VER,ADJ,NOM"
abrégée,abReZe,abréger,VER,4.21,0.05,0,7,0,5,3,"VER,ADJ"
absenta,aps@ta,absenter,VER,6.14,0,0,7,0,0,3,VER
absentai,aps@tE,absenter,VER,6.14,0,0,8,0,0,3,VER
